ident,type,name,latitude_deg,longitude_deg,iata_code
WAFL,small_airport,Sultan Bantilan Airport,1.123428,120.793658,TLI
WAFM,small_airport,Andi Jemma Airport,-2.558031,120.324342,MXB
WAFN,small_airport,Seko Airport,-2.271242,119.898205,
WAFP,medium_airport,Kasiguncu Airport,-1.414121,120.659241,PSJ
WAFQ,small_airport,Maulana Prins Mandapar Airstrip,-1.548841,123.554133,BQR
WAFS,small_airport,Sumarorong Airport,-3.150399,119.302277,
WAFU,small_airport,Tanjung Api Airport,-0.865437,121.628625,OJU
WAFW,medium_airport,Syukuran Aminuddin Amir Airport,-1.035893,122.773934,LUW
WAFZ,small_airport,Panua Pohuwato Airport,0.461782,121.814668,
WAGB,small_airport,Haji Muhammad Sidik Airport,-1.02581,114.92881,HMS
WAGF,small_airport,Seruyan Kuala Pembuang Airport,-3.376062,112.536521,KLP
WAGG,medium_airport,Tjilik Riwut Airport,-2.227146,113.943388,PKY
WAGL,small_airport,Long Apari Airport,3.083333,116.433333,
WAGP,small_airport,Purukcahu Airport,-0.688419,114.444829,
WAHI,large_airport,Yogyakarta International Airport,-7.905338,110.057264,YIA
WAHL,medium_airport,Tunggul Wulung Airport,-7.64506,109.033997,CXP
WAHP,small_airport,Jenderal Besar Soedirman Airport,-7.461239,109.414124,PWL
WAHU,small_airport,Dewadaru Airport,-5.80091,110.47838,KWB
WAJB,small_airport,Bokondini Airport,-3.68455,138.677437,BUI
WAJC,small_airport,Dabra Airport,-3.27061,138.613433,DRH
WAJD,small_airport,Wakde Airport,-1.93529,139.020004,
WAJG,small_airport,Batom Airport,-4.442687,140.883565,BXM
WAJI,small_airport,Mararena Sarmi Airport,-1.873077,138.753275,ZRM
WAJJ,large_airport,Dortheys Hiyo Eluay International Airport,-2.579627,140.519857,DJJ
WAJK,small_airport,Kiwirok Airstrip,-4.713481,140.740271,
WAJL,small_airport,Lereh Airport,-3.080046,139.952817,LHI
WAJM,small_airport,Mulia Airport,-3.701938,137.957,LII
WAJO,medium_airport,Oksibil Airport,-4.9071,140.6277,OKL
WAJS,small_airport,Senggeh Airport,-3.442448,140.778079,SEH
WAJY,small_airport,Werur Airport,-0.420096,132.1886,
WAKD,small_airport,Mindiptana Airport,-5.876929,140.70946,MDP
WAKE,small_airport,Bade Airport,-7.175902,139.58333,BXD
WAKG,small_airport,Agats Airport,-5.543288,138.134911,
WAKK,medium_airport,Mopah International Airport,-8.523898,140.419693,MKQ
WAKL,small_airport,Bomakia Airport,-5.806483,139.867647,
WAKM,small_airport,Kamur Airport,-6.1851,138.6372,KCD
WAKO,small_airport,Okaba Airport,-8.0946,139.7233,OKQ
WAKP,small_airport,Kepi Airport,-6.54297,139.332401,KEI
WAKQ,small_airport,Senggo Airport,-5.690668,139.350414,ZEG
WAKT,medium_airport,Tanah Merah Airport,-6.09669,140.303521,TMH
WALE,small_airport,Melalan Airport,-0.203611,115.760002,GHS
WALG,small_airport,Tanjung Harapan Airport,2.835833,117.373611,TJS
WALJ,small_airport,Datadawai Airport,0.807028,114.529052,DTD
WALK,medium_airport,Nusantara International Airport,-1.16053,116.71193,
WALL,large_airport,Sultan Aji Muhammad Sulaiman Sepinggan International Airport,-1.268342,116.89452,BPN
WALQ,small_airport,Muara Badak Pujangan Airport,-0.305999,117.415667,
WALR,medium_airport,Juwata International Airport / Suharnoko Harbani AFB,3.325145,117.564169,TRK
WALS,medium_airport,Aji Pangeran Tumenggung Pranoto International Airport,-0.374478,117.250128,AAP
WALT,small_airport,Tanjung Santan Airport,-0.092633,117.439109,
WALV,small_airport,Bunyu Airport,3.45572,117.866997,
WALX,small_airport,Mangkajang Airport,2.007244,117.748983,
WAMA,small_airport,Gamarmalamo Airport,1.838134,127.786191,GLX
WAMD,small_airport,Jailolo/Kuripasai Airport,1.1169999837875366,127.48300170898438,
