destination,restaurant_name,rating,review_count,price_level,category,restaurant_url,latitude,longitude
bromo,Rehat Bromo Rest Area,,,,,https://www.google.com/maps/place/Rehat+Bromo+Rest+Area/data=!4m7!3m6!1s0x2dd63616d9e874cd:0xc754cc9312c9f5d3!8m2!3d-7.9163372!4d112.986021!16s%2Fg%2F11fx7mmpxk!19sChIJzXTo2RY21i0R0_XJEpPMVMc?authuser=0&hl=id&rclk=1,-7.916298,112.9860428
bromo,Kusuma Kitchen,,,,,https://www.google.com/maps/place/Kusuma+Kitchen/data=!4m7!3m6!1s0x2dd637ae2c1ac607:0xf100803cf4d1a50c!8m2!3d-7.9214479!4d112.9643866!16s%2Fg%2F11j7ggmq2_!19sChIJB8YaLK431i0RDKXR9DyAAPE?authuser=0&hl=id&rclk=1,-7.921405,112.9643154
bromo,De Potrek Bromo,,,,,https://www.google.com/maps/place/De+Potrek+Bromo/data=!4m10!3m9!1s0x2dd64902ac6e64c1:0x31b30fd90c20399e!5m2!4m1!1i2!8m2!3d-7.9137486!4d113.0364163!16s%2Fg%2F11fj6jlny8!19sChIJwWRurAJJ1i0RnjkgDNkPszE?authuser=0&hl=id&rclk=1,-7.9037251,112.9521356
bromo,Bawangan Bromo Hotel & Resto,,,,,https://www.google.com/maps/place/Bawangan+Bromo+Hotel+%26+Resto/data=!4m10!3m9!1s0x2dd649df6334a7fb:0x32fbc2b1f3bad588!5m2!4m1!1i2!8m2!3d-7.92302!4d113.001455!16s%2Fg%2F11gf5jd6sn!19sChIJ-6c0Y99J1i0RiNW687HC-zI?authuser=0&hl=id&rclk=1,-7.9037251,112.9521356
bromo,KOPI DEWA 19 BROMO,,,,,https://www.google.com/maps/place/KOPI+DEWA+19+BROMO/data=!4m7!3m6!1s0x2dd6370073fb0407:0xcae4c47b5d46c910!8m2!3d-7.9110229!4d112.9562996!16s%2Fg%2F11yxxszbjd!19sChIJBwT7cwA31i0REMlGXXvE5Mo?authuser=0&hl=id&rclk=1,-7.9037251,112.9521356
bromo,Caldera at ARTOTEL Cabin Bromo,,,,,https://www.google.com/maps/place/Caldera+at+ARTOTEL+Cabin+Bromo/data=!4m7!3m6!1s0x2dd637c10410761d:0xd9b8817d5f0fa117!8m2!3d-7.9271731!4d112.9687444!16s%2Fg%2F11l796dc2r!19sChIJHXYQBME31i0RF6EPX32BuNk?authuser=0&hl=id&rclk=1,-7.9037251,112.9521356
raja ampat,Logbond Cozy Resto & Bakery Waisai,,,,,https://www.google.com/maps/place/Logbond+Cozy+Resto+%26+Bakery+Waisai/data=!4m7!3m6!1s0x2d5f1d3024e52d51:0x5d186281f60039c6!8m2!3d-0.4288534!4d130.8034909!16s%2Fg%2F11gk136l0x!19sChIJUS3lJDAdXy0RxjkA9oFiGF0?authuser=0&hl=id&rclk=1,-0.7125553,130.3034473
raja ampat,Ayam Bakar Madu RAJA AMPAT,,,,,https://www.google.com/maps/place/Ayam+Bakar+Madu+RAJA+AMPAT/data=!4m7!3m6!1s0x2dd7f8542b091693:0xae6c44037203fc9!8m2!3d-7.2205604!4d112.7660369!16s%2Fg%2F11fmpyd5w0!19sChIJkxYJK1T41y0RyT8gN0DE5go?authuser=0&hl=id&rclk=1,-0.7125553,130.3034473
raja ampat,Rumah Makan PONDOK LESEHAN,,,,,https://www.google.com/maps/place/Rumah+Makan+PONDOK+LESEHAN/data=!4m7!3m6!1s0x2d5f1ce5c0eb1833:0x415fb51c42ef63e4!8m2!3d-0.4209643!4d130.8223871!16s%2Fg%2F11c2q3b7fm!19sChIJMxjrwOUcXy0R5GPvQhy1X0E?authuser=0&hl=id&rclk=1,-0.421107,130.8228097
raja ampat,Warung Cahaya Bone Waisai Raja Ampat,,,,,https://www.google.com/maps/place/Warung+Cahaya+Bone+Waisai+Raja+Ampat/data=!4m7!3m6!1s0x2d5f1ce0342bc921:0x21f947d718ca4449!8m2!3d-0.425672!4d130.8195551!16s%2Fg%2F11cmpgsd4q!19sChIJIckrNOAcXy0RSUTKGNdH-SE?authuser=0&hl=id&rclk=1,-0.7125553,130.3034473
